EMP_ID|EMP_NAME|DEPARTMENT|DESIGNATION|LOCATION|SALARY|BONUS|EMAIL|PHONE|STATUS
1001|Employee_1001|HR|Analyst|Chennai|62098|4657|employee1001@company.com|98249827706|ACTIVE
1002|Employee_1002|Support|Analyst|Pune|34165|1488|employee1002@company.com|98200604502|ACTIVE
1003|Employee_1003|IT|Analyst|Bangalore|115181|9928|employee1003@company.com|98550455977|ACTIVE
1004|Employee_1004|Sales|Lead|Hyderabad|50926|7924|employee1004@company.com|98465341213|INACTIVE
1005|Employee_1005|IT|Senior Analyst|Chennai|43396|2519|employee1005@company.com|98507943839|ACTIVE
1006|Employee_1006|Finance|Lead|Chennai|35695|8527|employee1006@company.com|98675770529|ACTIVE
1007|Employee_1007|Sales|Analyst|Chennai|112397|6925|employee1007@company.com|98719927151|ACTIVE
1008|Employee_1008|HR|Analyst|Bangalore|67930|2307|employee1008@company.com|98349957310|ACTIVE
1009|Employee_1009|Sales|Lead|Pune|113320|6977|employee1009@company.com|98274648506|INACTIVE
1010|Employee_1010|Finance|Senior Analyst|Chennai|119593|2169|employee1010@company.com|98754049436|ACTIVE
1011|Employee_1011|Support|Senior Analyst|Bangalore|90589|7216|employee1011@company.com|98389854268|ACTIVE
1012|Employee_1012|Finance|Analyst|Bangalore|34207|6168|employee1012@company.com|98530747414|INACTIVE
1013|Employee_1013|HR|Senior Analyst|Chennai|57869|9179|employee1013@company.com|98524806516|INACTIVE
1014|Employee_1014|IT|Lead|Bangalore|62325|9830|employee1014@company.com|98382116655|INACTIVE
1015|Employee_1015|Support|Manager|Chennai|58746|3266|employee1015@company.com|98647099690|INACTIVE
1016|Employee_1016|HR|Analyst|Hyderabad|50033|3621|employee1016@company.com|98950488739|INACTIVE
1017|Employee_1017|Support|Analyst|Pune|80019|8668|employee1017@company.com|98668132202|INACTIVE
1018|Employee_1018|Support|Analyst|Hyderabad|119353|9797|employee1018@company.com|98906248900|INACTIVE
1019|Employee_1019|Finance|Analyst|Chennai|86985|3591|employee1019@company.com|98587182120|ACTIVE
1020|Employee_1020|Finance|Senior Analyst|Hyderabad|111959|5889|employee1020@company.com|98786066793|ACTIVE
1021|Employee_1021|IT|Lead|Bangalore|100697|9689|employee1021@company.com|98100614068|INACTIVE
1022|Employee_1022|Sales|Analyst|Hyderabad|77576|6038|employee1022@company.com|98357109965|ACTIVE
1023|Employee_1023|IT|Analyst|Hyderabad|93699|2133|employee1023@company.com|98916690353|ACTIVE
1024|Employee_1024|IT|Manager|Bangalore|64741|9645|employee1024@company.com|98751325257|INACTIVE
1025|Employee_1025|IT|Senior Analyst|Chennai|82296|7118|employee1025@company.com|98570406376|INACTIVE
1026|Employee_1026|HR|Senior Analyst|Bangalore|38392|6539|employee1026@company.com|98122585366|ACTIVE
1027|Employee_1027|Support|Senior Analyst|Hyderabad|39305|1964|employee1027@company.com|98345824373|ACTIVE
1028|Employee_1028|HR|Lead|Hyderabad|97391|4899|employee1028@company.com|98399012686|INACTIVE
1029|Employee_1029|IT|Senior Analyst|Pune|61850|8749|employee1029@company.com|98967043303|INACTIVE
1030|Employee_1030|IT|Analyst|Hyderabad|116374|8062|employee1030@company.com|98480424119|INACTIVE
1031|Employee_1031|Sales|Manager|Hyderabad|118259|2612|employee1031@company.com|98165082363|INACTIVE
